"Module","Pages","ApiPages","BackendRouteExists","ControllerCrudComplete","FrontendPageExists","ApiMappedCorrectly","ToastFeedback","LoadingState","EmptyState","PermissionConfigured","Overall","GapPages"
"account-payable-categories","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"accounts-payable","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"accounts-receivable","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"advanced","1","1","NOK","NOK","OK","NOK","OK","OK","OK","NOK","NOK","frontend/src/pages/avancado/AdvancedFeaturesPage.tsx"
"audit-logs","2","2","OK","NOK","OK","OK","NOK","OK","OK","OK","NOK","frontend/src/pages/admin/AuditLogPage.tsx; frontend/src/pages/configuracoes/AuditLogsPage.tsx"
"automation","1","1","NOK","NOK","OK","NOK","OK","OK","OK","NOK","NOK","frontend/src/pages/automacao/AutomationPage.tsx"
"bank-accounts","1","1","NOK","NOK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/financeiro/BankAccountsPage.tsx"
"bank-reconciliation","2","2","NOK","NOK","OK","NOK","NOK","OK","OK","NOK","NOK","frontend/src/pages/financeiro/BankReconciliationPage.tsx; frontend/src/pages/financeiro/ReconciliationDashboardPage.tsx"
"batch-export","1","1","OK","NOK","OK","OK","OK","OK","NOK","OK","NOK","frontend/src/pages/cadastros/BatchExportPage.tsx"
"branches","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"cash-flow","1","1","OK","NOK","OK","OK","NOK","OK","OK","OK","NOK","frontend/src/pages/financeiro/CashFlowPage.tsx"
"central","3","3","OK","NOK","OK","OK","NOK","OK","OK","OK","NOK","frontend/src/pages/central/CentralDashboardPage.tsx"
"chart-of-accounts","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"checklists","1","1","NOK","NOK","OK","NOK","NOK","OK","OK","NOK","NOK","frontend/src/pages/operational/checklists/ChecklistPage.tsx"
"commission-dashboard","1","1","OK","NOK","OK","OK","NOK","NOK","OK","OK","NOK","frontend/src/pages/financeiro/CommissionDashboardPage.tsx"
"commission-events","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"customers","3","3","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"dashboard-stats","1","1","OK","NOK","OK","OK","NOK","OK","OK","OK","NOK","frontend/src/pages/DashboardPage.tsx"
"equipments","2","2","OK","OK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/chamados/ServiceCallCreatePage.tsx; frontend/src/pages/equipamentos/EquipmentDetailPage.tsx"
"equipments-alerts","1","1","OK","OK","OK","OK","NOK","NOK","OK","OK","NOK","frontend/src/pages/equipamentos/EquipmentCalendarPage.tsx"
"equipments-constants","2","2","OK","OK","OK","OK","OK","NOK","NOK","OK","NOK","frontend/src/pages/equipamentos/EquipmentCreatePage.tsx"
"expenses","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"fiscal","1","1","NOK","NOK","OK","NOK","OK","OK","OK","NOK","NOK","frontend/src/pages/fiscal/FiscalNotesPage.tsx"
"frontend/src/pages/cadastros/customer360","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/cadastros/Customer360Page.tsx"
"frontend/src/pages/crm","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/CrmDashboardPage.tsx"
"frontend/src/pages/crm-pipeline","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/CrmPipelinePage.tsx"
"frontend/src/pages/emails/email","3","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/emails/EmailComposePage.tsx; frontend/src/pages/emails/EmailInboxPage.tsx; frontend/src/pages/emails/EmailSettingsPage.tsx"
"frontend/src/pages/estoque/batch","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/estoque/BatchManagementPage.tsx"
"frontend/src/pages/financeiro/fueling-logs","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/financeiro/FuelingLogsPage.tsx"
"frontend/src/pages/fleet/fleet","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/fleet/FleetPage.tsx"
"frontend/src/pages/ia/aianalytics","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/ia/AIAnalyticsPage.tsx"
"frontend/src/pages/inmetro/inmetro","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/inmetro/InmetroDashboardPage.tsx"
"frontend/src/pages/inmetro/inmetro-competitor","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/inmetro/InmetroCompetitorPage.tsx"
"frontend/src/pages/inmetro/inmetro-competitors","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/inmetro/InmetroCompetitorsPage.tsx"
"frontend/src/pages/inmetro/inmetro-compliance","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/inmetro/InmetroCompliancePage.tsx"
"frontend/src/pages/inmetro/inmetro-executive","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/inmetro/InmetroExecutivePage.tsx"
"frontend/src/pages/inmetro/inmetro-import","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/inmetro/InmetroImportPage.tsx"
"frontend/src/pages/inmetro/inmetro-map","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/inmetro/InmetroMapPage.tsx"
"frontend/src/pages/inmetro/inmetro-market","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/inmetro/InmetroMarketPage.tsx"
"frontend/src/pages/inmetro/inmetro-owner","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/inmetro/InmetroOwnerDetailPage.tsx"
"frontend/src/pages/inmetro/inmetro-prospection","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/inmetro/InmetroProspectionPage.tsx"
"frontend/src/pages/inmetro/inmetro-webhooks","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/inmetro/InmetroWebhooksPage.tsx"
"frontend/src/pages/integracao/auvo-import","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/integracao/AuvoImportPage.tsx"
"frontend/src/pages/login","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/LoginPage.tsx"
"frontend/src/pages/message-templates","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/MessageTemplatesPage.tsx"
"frontend/src/pages/portal/portal-login","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/portal/PortalLoginPage.tsx"
"frontend/src/pages/rh/benefits","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/rh/BenefitsPage.tsx"
"frontend/src/pages/rh/org-chart","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/rh/OrgChartPage.tsx"
"frontend/src/pages/rh/performance-review","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/rh/PerformanceReviewDetailPage.tsx"
"frontend/src/pages/rh/recruitment","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/rh/RecruitmentPage.tsx"
"frontend/src/pages/rh/skills","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/rh/SkillsMatrixPage.tsx"
"frontend/src/pages/tech/tech","2","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechProfilePage.tsx; frontend/src/pages/tech/TechSettingsPage.tsx"
"frontend/src/pages/tech/tech-barcode","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechBarcodePage.tsx"
"frontend/src/pages/tech/tech-bluetooth-print","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechBluetoothPrintPage.tsx"
"frontend/src/pages/tech/tech-chat","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechChatPage.tsx"
"frontend/src/pages/tech/tech-check","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechChecklistPage.tsx"
"frontend/src/pages/tech/tech-expense","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechExpensePage.tsx"
"frontend/src/pages/tech/tech-photo-annotation","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechPhotoAnnotationPage.tsx"
"frontend/src/pages/tech/tech-photos","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechPhotosPage.tsx"
"frontend/src/pages/tech/tech-signature","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechSignaturePage.tsx"
"frontend/src/pages/tech/tech-thermal-camera","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechThermalCameraPage.tsx"
"frontend/src/pages/tech/tech-voice-report","1","0","NOK","NOK","OK","NOK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/tech/TechVoiceReportPage.tsx"
"fund-transfers","1","1","NOK","NOK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/financeiro/FundTransfersPage.tsx"
"hr","14","14","NOK","NOK","OK","NOK","NOK","OK","NOK","NOK","NOK","frontend/src/pages/rh/AccountingReportsPage.tsx; frontend/src/pages/rh/ClockAdjustmentsPage.tsx; frontend/src/pages/rh/ClockInPage.tsx; frontend/src/pages/rh/EmployeeDocumentsPage.tsx; frontend/src/pages/rh/GeofenceLocationsPage.tsx"
"import","1","1","OK","NOK","OK","OK","OK","OK","OK","OK","NOK","frontend/src/pages/importacao/ImportPage.tsx"
"inmetro","2","2","NOK","NOK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/inmetro/InmetroInstrumentsPage.tsx; frontend/src/pages/inmetro/InmetroLeadsPage.tsx"
"inventory","5","5","NOK","NOK","OK","NOK","NOK","OK","NOK","NOK","NOK","frontend/src/pages/estoque/InventoryCreatePage.tsx; frontend/src/pages/estoque/InventoryExecutionPage.tsx; frontend/src/pages/estoque/InventoryListPage.tsx; frontend/src/pages/inmetro/InmetroSealReportPage.tsx; frontend/src/pages/tech/TechSealsPage.tsx"
"invoices","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"notifications","1","1","OK","NOK","OK","OK","OK","OK","OK","OK","NOK","frontend/src/pages/notificacoes/NotificationsPage.tsx"
"payment-methods","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"payments","1","1","OK","NOK","OK","OK","OK","OK","OK","OK","NOK","frontend/src/pages/financeiro/PaymentsPage.tsx"
"permissions","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"portal","5","5","OK","NOK","OK","OK","NOK","NOK","NOK","NOK","NOK","frontend/src/pages/portal/PortalDashboardPage.tsx; frontend/src/pages/portal/PortalFinancialsPage.tsx; frontend/src/pages/portal/PortalQuotesPage.tsx; frontend/src/pages/portal/PortalServiceCallPage.tsx; frontend/src/pages/portal/PortalWorkOrdersPage.tsx"
"price-history","1","1","OK","NOK","OK","OK","NOK","OK","OK","OK","NOK","frontend/src/pages/cadastros/PriceHistoryPage.tsx"
"products","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"profile","1","1","OK","NOK","OK","OK","OK","OK","NOK","NOK","NOK","frontend/src/pages/configuracoes/ProfilePage.tsx"
"quality","1","1","NOK","NOK","OK","NOK","NOK","OK","OK","NOK","NOK","frontend/src/pages/qualidade/QualityPage.tsx"
"quote-items","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"quotes","2","2","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"reconciliation-rules","1","1","NOK","NOK","OK","NOK","OK","OK","OK","NOK","NOK","frontend/src/pages/financeiro/ReconciliationRulesPage.tsx"
"recurring-contracts","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"reports","1","1","OK","NOK","OK","OK","NOK","OK","OK","NOK","NOK","frontend/src/pages/relatorios/ReportsPage.tsx"
"roles","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"schedules","1","1","OK","OK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/tecnicos/SchedulesPage.tsx"
"service-calls","4","4","OK","OK","OK","NOK","NOK","OK","OK","OK","NOK","frontend/src/pages/chamados/ServiceCallDetailPage.tsx; frontend/src/pages/chamados/ServiceCallEditPage.tsx; frontend/src/pages/chamados/TechnicianAgendaPage.tsx"
"service-calls-map","1","1","OK","OK","OK","OK","NOK","OK","OK","OK","NOK","frontend/src/pages/chamados/ServiceCallMapPage.tsx"
"service-checklists","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"services","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"settings","1","1","OK","NOK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/configuracoes/SettingsPage.tsx"
"sla-dashboard","1","1","OK","NOK","OK","OK","NOK","OK","OK","OK","NOK","frontend/src/pages/os/SlaDashboardPage.tsx"
"sla-policies","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"standard-weights","1","1","NOK","NOK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/equipamentos/StandardWeightsPage.tsx"
"stock","5","5","NOK","NOK","OK","NOK","NOK","OK","OK","NOK","NOK","frontend/src/pages/estoque/InventoryPage.tsx; frontend/src/pages/estoque/KardexPage.tsx; frontend/src/pages/estoque/StockDashboardPage.tsx; frontend/src/pages/estoque/StockIntelligencePage.tsx; frontend/src/pages/estoque/StockMovementsPage.tsx"
"stock-disposals","1","1","NOK","NOK","OK","NOK","OK","OK","OK","NOK","NOK","frontend/src/pages/estoque/StockIntegrationPage.tsx"
"suppliers","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"tech","1","1","NOK","NOK","OK","NOK","NOK","OK","OK","NOK","NOK","frontend/src/pages/tech/TechWorkOrdersPage.tsx"
"technician","1","1","NOK","NOK","OK","NOK","NOK","OK","OK","NOK","NOK","frontend/src/pages/tech/TechWidgetPage.tsx"
"technician-cash","1","1","OK","NOK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/tecnicos/TechnicianCashPage.tsx"
"technicians","1","1","NOK","NOK","OK","NOK","OK","OK","NOK","NOK","NOK","frontend/src/pages/tech/TechWorkOrderDetailPage.tsx"
"tenants","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"time-entries","1","1","OK","OK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/tecnicos/TimeEntriesPage.tsx"
"users","3","3","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"warehouses","1","1","NOK","NOK","OK","NOK","OK","OK","OK","NOK","NOK","frontend/src/pages/estoque/WarehousesPage.tsx"
"work-orders","3","3","OK","OK","OK","NOK","OK","OK","OK","OK","NOK","frontend/src/pages/os/WorkOrderDetailPage.tsx"
